list_name,name,label,governorate
supply_issues,move_restriction,"Movement restrictions (check points, curfews, roadblocks, etc)",
supply_issues,other,Other (please specify),
supply_issues,did_not_answer,Vendor did not answer,
,,,
dmg_infra,road,Road infrastructure,
dmg_infra,electrical,Electrical infrastructure,
dmg_infra,water,Water infrastructure,
dmg_infra,communication,Communication infrastructure,
dmg_infra,other,Other (please specify),
,,,
governorate,YE11,Ibb,
governorate,YE12,Abyan,
governorate,YE13,Amanat Al Asimah,
governorate,YE14,Al Bayda,
governorate,YE15,Taizz,
governorate,YE16,Al Jawf,
governorate,YE17,Hajjah,
governorate,YE18,Al Hudaydah,
governorate,YE19,Hadramaut,
governorate,YE20,Dhamar,
governorate,YE21,Shabwah,
governorate,YE22,Saada,
governorate,YE23,Sanaa,
governorate,YE24,Aden,
governorate,YE25,Lahj,
governorate,YE26,Marib,
governorate,YE27,Al Mahwit,
governorate,YE28,Al Maharah,
governorate,YE29,Amran,
governorate,YE30,Al Dhalee,
governorate,YE31,Raymah,
governorate,YE32,Socotra,
,,,
district,YE1101,Al Qafr,YE11
district,YE1102,Yarim,YE11
district,YE1103,Ar Radmah,YE11
district,YE1104,An Nadirah,YE11
district,YE1105,Ash Sha'ir,YE11
district,YE1106,As Saddah,YE11
district,YE1107,Al Makhadir,YE11
district,YE1108,Hubaysh,YE11
district,YE1109,Hazm Al Udayn,YE11
district,YE1110,Far Al Udayn,YE11
district,YE1111,Al Udayn,YE11
district,YE1112,Jiblah,YE11
district,YE1113,Ba'dan,YE11
district,YE1114,As Sabrah,YE11
district,YE1115,As Sayyani,YE11
district,YE1116,Dhi As Sufal,YE11
district,YE1117,Mudhaykhirah,YE11
district,YE1118,Al Mashannah,YE11
district,YE1119,Al Dhihar,YE11
district,YE1120,Ibb,YE11
district,YE1201,Al Mahfad,YE12
district,YE1202,Mudiyah,YE12
district,YE1203,Jayshan,YE12
district,YE1204,Lawdar,YE12
district,YE1205,Sibah,YE12
district,YE1206,Rasad,YE12
district,YE1207,Sarar,YE12
district,YE1208,Al Wade'a,YE12
district,YE1209,Ahwar,YE12
district,YE1210,Zingibar,YE12
district,YE1211,Khanfir,YE12
district,YE1301,Old City,YE13
district,YE1302,Shu'aub,YE13
district,YE1303,Az'zal,YE13
district,YE1304,Assafi'yah,YE13
district,YE1305,As Sabain,YE13
district,YE1306,Al Wahdah,YE13
district,YE1307,At Tahrir,YE13
district,YE1308,Ma'ain,YE13
district,YE1309,Ath'thaorah,YE13
district,YE1310,Bani Al Harith,YE13
district,YE1401,Na'man,YE14
district,YE1402,Nati',YE14
district,YE1403,Maswarah,YE14
district,YE1404,As Sawma'ah,YE14
district,YE1405,Az Zahir,YE14
district,YE1406,Dhi Na'im,YE14
district,YE1407,At Taffah,YE14
district,YE1408,Mukayras,YE14
district,YE1409,Al Bayda City,YE14
district,YE1410,Al Bayda,YE14
district,YE1411,As Sawadiyah,YE14
district,YE1412,Radman Al Awad,YE14
district,YE1413,Rada',YE14
district,YE1414,Al Quraishyah,YE14
district,YE1415,Wald Rabi',YE14
district,YE1416,Al A'rsh,YE14
district,YE1417,Sabah,YE14
district,YE1418,Ar Ryashyyah,YE14
district,YE1419,Ash Sharyah,YE14
district,YE1420,Al Malagim,YE14
district,YE1501,Mawiyah,YE15
district,YE1502,Shara'b As Salam,YE15
district,YE1503,Shara'b Ar Rawnah,YE15
district,YE1504,Maqbanah,YE15
district,YE1505,Al  Mukha,YE15
district,YE1506,Dhubab,YE15
district,YE1507,Mawza,YE15
district,YE1508,Jabal Habashy,YE15
district,YE1509,Mashra'a Wa Hadnan,YE15
district,YE1510,Sabir Al Mawadim,YE15
district,YE1511,Al Misrakh,YE15
district,YE1512,Dimnat Khadir,YE15
district,YE1513,As Silw,YE15
district,YE1514,Ash Shamayatayn,YE15
district,YE1515,Al Wazi'iyah,YE15
district,YE1516,Hayfan,YE15
district,YE1517,Al Mudhaffar,YE15
district,YE1518,Al Qahirah,YE15
district,YE1519,Salh,YE15
district,YE1520,At Ta'iziyah,YE15
district,YE1521,Al Ma'afer,YE15
district,YE1522,Al Mawasit,YE15
district,YE1523,Sama,YE15
district,YE1601,Khabb wa ash Sha'af,YE16
district,YE1602,Al Humaydat,YE16
district,YE1603,Al Matammah,YE16
district,YE1604,Az Zahir,YE16
district,YE1605,Al Hazm,YE16
district,YE1606,Al Maton,YE16
district,YE1607,Al Maslub,YE16
district,YE1608,Al Ghayl,YE16
district,YE1609,Al Khalq,YE16
district,YE1610,Bart Al Anan,YE16
district,YE1611,Rajuzah,YE16
district,YE1612,Kharab Al Marashi,YE16
district,YE1701,Bakil Al Mir,YE17
district,YE1702,Haradh,YE17
district,YE1703,Midi,YE17
district,YE1704,Abs,YE17
district,YE1705,Hayran,YE17
district,YE1706,Mustaba,YE17
district,YE1707,Kushar,YE17
district,YE1708,Al Jamimah,YE17
district,YE1709,Kuhlan Ash Sharaf,YE17
district,YE1710,Aflah Ash Shawm,YE17
district,YE1711,Khayran Al Muharraq,YE17
district,YE1712,Aslem,YE17
district,YE1713,Qafl Shamer,YE17
district,YE1714,Aflah Al Yaman,YE17
district,YE1715,Al Mahabishah,YE17
district,YE1716,Al Miftah,YE17
district,YE1717,Al Maghrabah,YE17
district,YE1718,Kuhlan Affar,YE17
district,YE1719,Sharas,YE17
district,YE1720,Mabyan,YE17
district,YE1721,Ash Shahil,YE17
district,YE1722,Ku'aydinah,YE17
district,YE1723,Wadhrah,YE17
district,YE1724,Bani Qa'is,YE17
district,YE1725,Ash Shaghadirah,YE17
district,YE1726,Najrah,YE17
district,YE1727,Bani Al Awam,YE17
district,YE1728,Hajjah City,YE17
district,YE1729,Hajjah,YE17
district,YE1730,Washhah,YE17
district,YE1731,Qarah,YE17
district,YE1801,Az Zuhrah,YE18
district,YE1802,Alluheyah,YE18
district,YE1803,Kamaran,YE18
district,YE1804,As Salif,YE18
district,YE1805,Al Munirah,YE18
